bench;vm;suite;extra_args;cores;input_sizes;variable_values;;;arithmetic mean;geometric mean;median;stdDev;#samples;min;max;Conf. Interval Low;Conf. Interval High;Conf. Interval Size Abs.;Conf.IntervalSize/Mean
benchmarks/binarytrees.lua-3.lua;lua-x86;tilera;10;1;1;None;pass1;total;113,333333;112,662317;110,000000;12,472191;3,000000;100,000000;130,000000;92,307034;134,359633;42,052599;0,371052
benchmarks/partialsums.lua-2.lua;lua-x86;tilera;500000;1;1;None;;total;613,333333;613,207152;610,000000;12,472191;3,000000;600,000000;630,000000;592,307034;634,359633;42,052599;0,068564
benchmarks/strcat.lua-2.lua;luajit;tilera;15000;1;1;None;;total;7160,000000;7160,000000;7160,000000;0,000000;2,000000;7160,000000;7160,000000;7160,000000;7160,000000;0,000000;0,000000
benchmarks/matrix.lua;lua-x86;tilera;100;1;1;None;pass1;total;220,000000;220,000000;220,000000;0,000000;2,000000;220,000000;220,000000;220,000000;220,000000;0,000000;0,000000
benchmarks/except.lua;luajit;tilera;250000;1;1;None;;total;20,000000;20,000000;20,000000;0,000000;2,000000;20,000000;20,000000;20,000000;20,000000;0,000000;0,000000
benchmarks/except.lua;luajit;tilera;250000;1;1;None;pass1;total;20,000000;20,000000;20,000000;0,000000;2,000000;20,000000;20,000000;20,000000;20,000000;0,000000;0,000000
benchmarks/spectralnorm.lua;lua;tilera;220;1;1;None;;total;18690,000000;18690,000000;18690,000000;0,000000;2,000000;18690,000000;18690,000000;18690,000000;18690,000000;0,000000;0,000000
benchmarks/harmonic.lua;lua-x86;tilera;20000000;1;1;None;pass1;total;360,000000;360,000000;360,000000;0,000000;2,000000;360,000000;360,000000;360,000000;360,000000;0,000000;0,000000
benchmarks/takfp.lua;lua;tilera;8;1;1;None;;total;5100,000000;5100,000000;5100,000000;0,000000;2,000000;5100,000000;5100,000000;5100,000000;5100,000000;0,000000;0,000000
benchmarks/mandelbrot.lua;lua;tilera;400;1;1;None;;total;15755,000000;15754,999207;15755,000000;5,000000;2,000000;15750,000000;15760,000000;15732,677517;15777,322483;44,644965;0,002834
benchmarks/mandelbrot.lua-2.lua;lua-x86;tilera;350;1;1;None;pass2;total;260,000000;260,000000;260,000000;0,000000;3,000000;260,000000;260,000000;260,000000;260,000000;0,000000;0,000000
benchmarks/nbody.lua-4.lua;lua-x86;tilera;30000;1;1;None;pass1;total;216,666667;216,016460;210,000000;16,996732;3,000000;200,000000;240,000000;188,012651;245,320683;57,308032;0,264499
benchmarks/nestedloop.lua;luajit;tilera;14;1;1;None;;total;7240,000000;7240,000000;7240,000000;0,000000;2,000000;7240,000000;7240,000000;7240,000000;7240,000000;0,000000;0,000000
benchmarks/mandelbrot.lua-2.lua;luajit;tilera;350;1;1;None;pass2;total;5740,000000;5740,000000;5740,000000;0,000000;2,000000;5740,000000;5740,000000;5740,000000;5740,000000;0,000000;0,000000
benchmarks/wc.lua;lua;tilera;12;1;1;None;;total;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
benchmarks/binarytrees.lua-3.lua;luajit;tilera;10;1;1;None;pass2;total;2973,333333;2973,149814;2980,000000;32,998316;3,000000;2930,000000;3010,000000;2917,702974;3028,963692;111,260718;0,037420
benchmarks/mandelbrot.lua;luajit;tilera;400;1;1;None;;total;15230,000000;15230,000000;15230,000000;0,000000;2,000000;15230,000000;15230,000000;15230,000000;15230,000000;0,000000;0,000000
benchmarks/partialsums.lua-3.lua;lua-x86;tilera;500000;1;1;None;;total;640,000000;640,000000;640,000000;0,000000;2,000000;640,000000;640,000000;640,000000;640,000000;0,000000;0,000000
benchmarks/wc.lua;lua-x86;tilera;12;1;1;None;;total;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
benchmarks/sieve.lua;lua;tilera;200;1;1;None;pass2;total;6345,000000;6344,998030;6345,000000;5,000000;2,000000;6340,000000;6350,000000;6322,677517;6367,322483;44,644965;0,007036
benchmarks/matrix.lua;lua;tilera;100;1;1;None;pass1;total;4740,000000;4740,000000;4740,000000;0,000000;2,000000;4740,000000;4740,000000;4740,000000;4740,000000;0,000000;0,000000
benchmarks/partialsums.lua-2.lua;lua;tilera;500000;1;1;None;pass2;total;26870,000000;26869,887152;26860,000000;77,888810;3,000000;26780,000000;26970,000000;26738,690803;27001,309197;262,618394;0,009774
benchmarks/binarytrees.lua-2.lua;luajit;tilera;10;1;1;None;;total;6036,666667;6036,097943;6090,000000;82,596745;3,000000;5920,000000;6100,000000;5897,420576;6175,912757;278,492181;0,046133
benchmarks/mandelbrot.lua-2.lua;luajit;tilera;350;1;1;None;;total;11505,000000;11504,998914;11505,000000;5,000000;2,000000;11500,000000;11510,000000;11482,677517;11527,322483;44,644965;0,003880
benchmarks/nsieve.lua-3.lua;lua-x86;tilera;6;1;1;None;pass1;total;196,666667;196,445537;190,000000;9,428090;3,000000;190,000000;210,000000;180,772278;212,561055;31,788777;0,161638
benchmarks/sieve.lua;lua-x86;tilera;200;1;1;None;;total;400,000000;400,000000;400,000000;0,000000;2,000000;400,000000;400,000000;400,000000;400,000000;0,000000;0,000000
