#!/usr/local/bin/rebench -d -n rebench.conf
[2012-07-10 16:12:09.918714]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	total = 27800.000000
[2012-07-10 16:12:09.918929]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	pass1	total = 13910.000000
[2012-07-10 16:12:09.919022]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	pass2	total = 13890.000000
[2012-07-10 16:12:38.168991]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	total = 27800.000000
[2012-07-10 16:12:38.169159]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	pass1	total = 13880.000000
[2012-07-10 16:12:38.169251]	benchmarks/ary.lua, vm:luajit, suite:tilera, args:'10000'	1	1	None	pass2	total = 13910.000000
[2012-07-10 16:12:44.588949]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 5920.000000
[2012-07-10 16:12:44.589118]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 2920.000000
[2012-07-10 16:12:44.589217]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 2960.000000
[2012-07-10 16:12:51.139001]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 6100.000000
[2012-07-10 16:12:51.139167]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 3000.000000
[2012-07-10 16:12:51.139262]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 3060.000000
[2012-07-10 16:12:57.669149]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 6090.000000
[2012-07-10 16:12:57.669319]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 3000.000000
[2012-07-10 16:12:57.669410]	benchmarks/binarytrees.lua-2.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 3050.000000
[2012-07-10 16:13:03.999262]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 5890.000000
[2012-07-10 16:13:03.999436]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 2930.000000
[2012-07-10 16:13:03.999528]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 2930.000000
[2012-07-10 16:13:10.479555]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 6020.000000
[2012-07-10 16:13:10.479726]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 3000.000000
[2012-07-10 16:13:10.479817]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 3010.000000
[2012-07-10 16:13:16.909244]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	total = 5970.000000
[2012-07-10 16:13:16.909413]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass1	total = 2970.000000
[2012-07-10 16:13:16.909510]	benchmarks/binarytrees.lua-3.lua, vm:luajit, suite:tilera, args:'10'	1	1	None	pass2	total = 2980.000000
[2012-07-10 16:13:18.819096]	benchmarks/except.lua, vm:luajit, suite:tilera, args:'250000'	1	1	None	total = 20.000000
