27800.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	total
13910.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	pass1	total
13890.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	pass2	total
27800.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	total
13880.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	pass1	total
13910.000000	benchmarks/ary.lua	luajit	tilera	"10000"	1	1	None	pass2	total
5920.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	total
2920.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass1	total
2960.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass2	total
6100.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	total
3000.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass1	total
3060.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass2	total
6090.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	total
3000.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass1	total
3050.000000	benchmarks/binarytrees.lua-2.lua	luajit	tilera	"10"	1	1	None	pass2	total
5890.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	total
2930.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass1	total
2930.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass2	total
6020.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	total
3000.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass1	total
3010.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass2	total
5970.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	total
2970.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass1	total
2980.000000	benchmarks/binarytrees.lua-3.lua	luajit	tilera	"10"	1	1	None	pass2	total
20.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	total
20.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	pass1	total
0.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	pass2	total
20.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	total
20.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	pass1	total
0.000000	benchmarks/except.lua	luajit	tilera	"250000"	1	1	None	pass2	total
17660.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	total
8820.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass1	total
8840.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass2	total
17700.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	total
8820.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass1	total
8880.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass2	total
17690.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	total
8840.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass1	total
8850.000000	benchmarks/fannkuch.lua	luajit	tilera	"9"	1	1	None	pass2	total
16410.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	total
8220.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	pass1	total
8190.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	pass2	total
16400.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	total
8220.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	pass1	total
8180.000000	benchmarks/fannkuch.lua-2.lua	luajit	tilera	"9"	1	1	None	pass2	total
18180.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	total
9130.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass1	total
9050.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass2	total
18150.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	total
9130.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass1	total
9020.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass2	total
18160.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	total
9140.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass1	total
9020.000000	benchmarks/fannkuchredux.lua	luajit	tilera	"9"	1	1	None	pass2	total
21250.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	total
10720.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	pass1	total
10530.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	pass2	total
21250.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	total
10730.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	pass1	total
10520.000000	benchmarks/fasta.lua	luajit	tilera	"200000"	1	1	None	pass2	total
6880.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	total
3450.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass1	total
3430.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass2	total
6870.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	total
3450.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass1	total
3420.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass2	total
6870.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	total
3450.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass1	total
3420.000000	benchmarks/fibo.lua	luajit	tilera	"30"	1	1	None	pass2	total
78620.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	total
39320.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	pass1	total
39300.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	pass2	total
78620.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	total
39320.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	pass1	total
39300.000000	benchmarks/harmonic.lua	luajit	tilera	"20000000"	1	1	None	pass2	total
8260.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	total
4110.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass1	total
4110.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass2	total
8280.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	total
4110.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass1	total
4120.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass2	total
8250.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	total
4090.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass1	total
4120.000000	benchmarks/hash2.lua	luajit	tilera	"200"	1	1	None	pass2	total
10520.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	total
5250.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass1	total
4250.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass2	total
10480.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	total
5240.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass1	total
4230.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass2	total
10550.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	total
5280.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass1	total
4250.000000	benchmarks/hash.lua	luajit	tilera	"150000"	1	1	None	pass2	total
20.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	total
20.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	pass1	total
0.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	pass2	total
20.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	total
20.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	pass1	total
0.000000	benchmarks/hello.lua	luajit	tilera	"None"	1	1	None	pass2	total
8620.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	total
4330.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	pass1	total
4290.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	pass2	total
8620.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	total
4330.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	pass1	total
4290.000000	benchmarks/lists.lua	luajit	tilera	"25"	1	1	None	pass2	total
15230.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	total
7620.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	pass1	total
7600.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	pass2	total
15230.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	total
7620.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	pass1	total
7600.000000	benchmarks/mandelbrot.lua	luajit	tilera	"400"	1	1	None	pass2	total
11500.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	total
5750.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	pass1	total
5740.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	pass2	total
11510.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	total
5760.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	pass1	total
5740.000000	benchmarks/mandelbrot.lua-2.lua	luajit	tilera	"350"	1	1	None	pass2	total
10180.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	total
5100.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	pass1	total
5080.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	pass2	total
10180.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	total
5100.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	pass1	total
5080.000000	benchmarks/nbody.lua	luajit	tilera	"30000"	1	1	None	pass2	total
9730.000000	benchmarks/nbody.lua-2.lua	luajit	tilera	"30000"	1	1	None	total
4880.000000	benchmarks/nbody.lua-2.lua	luajit	tilera	"30000"	1	1	None	pass1	total
4850.000000	benchmarks/nbody.lua-2.lua	luajit	tilera	"30000"	1	1	None	pass2	total
9730.000000	benchmarks/nbody.lua-2.lua	luajit	tilera	"30000"	1	1	None	total
